hp_id,background_freq,sum_freq_across_diseases
HP:0000832,0.00028763,3.731667
HP:0000834,0.00021427,2.780000
HP:0000835,0.00118350,15.354762
HP:0000836,0.00115126,14.936429
HP:0000837,0.00198390,25.739091
HP:0000839,0.00027054,3.510000
HP:0000840,0.00019269,2.500000
HP:0000841,0.00042392,5.500000
HP:0000842,0.00287614,37.315000
HP:0000843,0.00098273,12.750000
HP:0000845,0.00118352,15.355000
HP:0000846,0.00160268,20.793232
HP:0000847,0.00003854,0.170000
HP:0000848,0.00136889,17.760000
HP:0000849,0.00009982,1.295000
HP:0000851,0.00135235,17.545336
HP:0000852,0.00061880,8.028333
HP:0000853,0.00229780,29.811667
HP:0000854,0.00029020,3.765000
HP:0000855,0.00295296,38.311667
HP:0000857,0.00065901,8.550000
HP:0000858,0.00147230,19.101667
HP:0000859,0.00128328,16.649286
HP:0000860,0.00011947,1.550000
HP:0000863,0.00049060,6.365000
HP:0000864,0.00078465,10.180000
HP:0000866,0.00011947,1.550000
HP:0000867,0.00025513,3.310000
HP:0000868,0.00053569,6.950000
HP:0000869,0.00235157,30.509206
HP:0000870,0.00130201,16.892222
HP:0000871,0.00074613,9.680303
HP:0000872,0.00125762,16.316349
HP:0000873,0.00142318,18.464390
HP:0000875,0.00015415,2.000000
HP:0000876,0.00153217,19.878333
HP:0000877,0.00015415,2.000000
HP:0000878,0.00143143,18.571350
HP:0000879,0.00103175,13.385980
HP:0000882,0.00148862,19.313333
HP:0000883,0.00223953,29.055714
HP:0000884,0.00050563,6.560000
HP:0000885,0.00160282,20.795000
HP:0000886,0.00030600,3.970000
HP:0000887,0.00049750,6.454545
HP:0000888,0.00079525,10.317619
HP:0000889,0.00136966,17.770000
HP:0000890,0.00053183,6.900000
HP:0000891,0.00062585,8.119841
HP:0000892,0.00032141,4.170000
HP:0000893,0.00015415,2.000000
HP:0000894,0.00190379,24.699719
HP:0000895,0.00090720,11.770000
HP:0000896,0.00021004,2.725000
HP:0000897,0.00043317,5.620000
HP:0000900,0.00024433,3.170000
HP:0000902,0.00142846,18.532857
HP:0000904,0.00042392,5.500000
HP:0000905,0.00023663,3.070000
HP:0000907,0.00074919,9.720000
HP:0000910,0.00007708,1.000000
HP:0000911,0.00007708,1.000000
HP:0000912,0.00148502,19.266667
HP:0000913,0.00013631,1.768456
HP:0000914,0.00117746,15.276387
HP:0000915,0.00015801,2.050000
HP:0000916,0.00047942,6.220000
HP:0000917,0.00011562,1.500000
HP:0000918,0.00011754,1.525000
HP:0000919,0.00003854,0.340000
HP:0000920,0.00042932,5.570000
HP:0000921,0.00137317,17.815507
HP:0000922,0.00019269,2.500000
HP:0000924,0.00379447,49.229483
HP:0000925,0.00182056,23.620000
HP:0000926,0.01093122,141.821671
HP:0000927,0.00004239,0.550000
HP:0000929,0.00178087,23.105000
HP:0000930,0.00007708,1.000000
HP:0000931,0.00007708,1.000000
HP:0000932,0.00049561,6.430000
HP:0000933,0.00010328,1.340000
HP:0000934,0.00077424,10.045000
HP:0000935,0.00050952,6.610476
HP:0000938,0.01305702,169.401746
HP:0000939,0.01054334,136.789290
HP:0000940,0.00100123,12.990000
HP:0000941,0.00008093,1.050000
HP:0000943,0.00216425,28.078933
HP:0000944,0.00479112,62.160000
HP:0000946,0.00132444,17.183333
HP:0000947,0.00025204,3.270000
HP:0000951,0.00333927,43.323636
HP:0000952,0.00986460,127.983379
HP:0000953,0.00475063,61.634630
HP:0000954,0.00796890,103.388456
HP:0000956,0.00348728,45.244008
HP:0000957,0.00364447,47.283376
HP:0000958,0.00949076,123.133107
HP:0000960,0.00414437,53.769093
HP:0000961,0.00423994,55.009004
HP:0000962,0.00878426,113.966984
HP:0000963,0.00475346,61.671372
HP:0000964,0.00627372,81.395295
HP:0000965,0.00280096,36.339695
HP:0000966,0.00477353,61.931742
HP:0000967,0.00281804,36.561227
HP:0000968,0.00235058,30.496429
HP:0000969,0.00682370,88.530653
HP:0000970,0.00182172,23.635000
HP:0000971,0.00006937,0.900000
HP:0000972,0.00338942,43.974337
HP:0000973,0.00390056,50.605913
HP:0000974,0.00450725,58.477028
HP:0000975,0.00621517,80.635668
HP:0000977,0.00179230,23.253338
HP:0000978,0.00827032,107.299146
HP:0000979,0.00239258,31.041358
HP:0000980,0.00471045,61.113397
HP:0000982,0.00632182,82.019260
HP:0000987,0.00166967,21.662273
HP:0000988,0.00703484,91.269967
HP:0000989,0.00770848,100.009799
HP:0000991,0.00102436,13.290000
HP:0000992,0.00561242,72.815522
HP:0000993,0.00031040,4.027143
HP:0000995,0.00241830,31.374996
HP:0000996,0.00028466,3.693151
HP:0000997,0.00051604,6.695049
HP:0000998,0.00420234,54.521120
HP:0000999,0.00031024,4.025000
HP:0001000,0.00272611,35.368501
HP:0001001,0.00015184,1.970000
HP:0001003,0.00112771,14.630888
HP:0001004,0.00406855,52.785392
